# ----------------------------------------
# Istantanea report
# Account: Codehelper
# Proprietà: Unlistened
# ----------------------------------------
#  
# Data di inizio: 20260410
# Data di fine: 20260507
Utenti attivi,Nuovi utenti,Durata media del coinvolgimento per utente attivo,Conteggio eventi
19,15,342.10526315789474,2013

#  
# Data di inizio: 20260410
# Data di fine: 20260507
Titolo pagina e classe schermata,Visualizzazioni,Utenti attivi,Conteggio eventi,Frequenza di rimbalzo
Relaxing Meditation - by TolsetMusic (Relaxing Ambient Backgroun | Album | Unlistened.me,6,2,6,0
The Addiction Is Me | Album | Unlistened.me,6,1,6,0
User guide | Unlistened.me,6,2,8,0
Vitruviano | Album | Unlistened.me,6,1,6,0
"""Hip hop"" — Podcast Search | Unlistened.me",5,1,10,0
Books Podcasts | Unlistened.me,4,1,8,0
Dashboard – Unlistened.me | Unlistened.me,4,1,6,0
Forgot Password | Unlistened.me,4,1,8,0
Lofi Chillout Hip Hop Beat | Unlistened.me,4,2,6,0
PoretCast di Giacomo Poretti — Episodes | Unlistened.me | Unlistened.me,4,1,4,0
"""Bsmt"" — Podcast Search | Unlistened.me | Unlistened.me",3,1,3,0
"""Poretcast"" — Podcast Search | Unlistened.me | Unlistened.me",3,1,3,0
"""Vitruviano"" — Podcast Search | Unlistened.me",3,1,3,0
ANDREA SCANZI | Divisivo per natura! | Passa dal BSMT _ S05E50 — Passa dal BSMT | Unlistened.me,3,1,3,0
About Unlistened.me — Privacy-first Podcast Player,3,1,4,0
About Us – Unlistened.me | Unlistened.me,3,1,3,0
Abstract Ideas | Album | Unlistened.me,3,1,4,0
Arts Podcasts | Unlistened.me | Unlistened.me,3,1,3,0
Comedy Podcasts | Unlistened.me,3,1,3,0
Dont Run Away | Album | Unlistened.me,3,1,3,0
Echoes | Album | Unlistened.me | Unlistened.me,3,1,3,0
Ep. 35 S4 KATIA FOLLESA | Delirio comico | PORETCAST — PoretCast di Giacomo Poretti | Unlistened.me | Unlistened.me,3,1,3,0
Healing Waves 1 | Album | Unlistened.me,3,1,3,0
Hormuz: il conto che arriva | Unlistened.me,3,1,4,0
Host / Therapy (In My Skin) | Album | Unlistened.me,3,1,3,0
Lets Play a Game | Album | Unlistened.me | Unlistened.me,3,1,3,0
Marijuana | Album | Unlistened.me,3,1,3,0
Music Albums – Unlistened.me | Unlistened.me,3,1,5,0
Music Search | Unlistened.me | Unlistened.me,3,1,3,0
Not the One to Say (I Told You So) (24-bit Master) | Album | Unlistened.me,3,1,3,0
Page Not Found | Unlistened.me,3,1,3,0
Pass me by (feat. Konnie) | Album | Unlistened.me,3,1,3,0
Perfect for Each Other (35XAlive Mix) | Album | Unlistened.me,3,1,3,0
Radio Romance — Episodes | Unlistened.me,3,1,3,0
Relax Cafe | Album | Unlistened.me,3,1,3,0
Search Results | Unlistened.me | Unlistened.me,3,1,3,0
Settings – Unlistened.me | Unlistened.me,3,1,3,0
Shapeshifter | Album | Unlistened.me,3,1,3,0
Soundscape Meditation Music | Album | Unlistened.me,3,1,3,0
Svaniremo Via | Album | Unlistened.me,3,1,3,0
Terms and conditions for Unlistened.me,3,1,5,0
The Dark Protector | Album | Unlistened.me,3,1,3,0
Vitruviano | Unlistened.me,3,1,3,0
Vlog Journey | Album | Unlistened.me | Unlistened.me,3,1,3,0
YO QUIERO BEBER - Pueto pa lo mio records Presenta - Marshall Aq | Album | Unlistened.me,3,1,3,0
Yoga and Healing Music | Album | Unlistened.me,3,1,3,0
Abstract Ideas | Unlistened.me,2,1,2,0
Athens | Unlistened.me,2,1,2,0
Music Soothe - Meditation Music | Unlistened.me,2,1,2,0
Personal best — Episodes | Unlistened.me | Unlistened.me,2,1,2,0
RED LIGHT | Unlistened.me,2,1,4,0
ANDREA SCANZI | Divisivo per natura! | Passa dal BSMT _ S05E50 | Unlistened.me,1,1,3,0.5
Fallen Star | Unlistened.me,1,1,1,0
Flying Guitars | Album | Unlistened.me,1,1,2,0
Hormuz: il conto che arriva — La finanza amichevole | Unlistened.me,1,1,2,0
Loading... | Unlistened.me,1,1,1,0
MOUVE | Album | Unlistened.me,1,1,3,0.5
Not the One to Say (I Told You So) (24-bit Master) | Unlistened.me,1,1,1,0
Podcast Episodes | Unlistened.me | Unlistened.me,1,1,3,0
Terms and Conditions | Unlistened.me,1,1,2,0
The Light of the Dark | Album | Unlistened.me | Unlistened.me,1,1,1,0
Urban Hip Hop | Album | Unlistened.me,1,1,1,0
Episode | Unlistened.me | Unlistened.me,0,1,1,0

#  
# Data di inizio: 20260410
# Data di fine: 20260507
Sorgente/Mezzo della prima interazione dell'utente,Utenti attivi
(direct) / (none),16
m.facebook.com / referral,2
tagassistant.google.com / referral,1

#  
# Data di inizio: 20260410
# Data di fine: 20260507
Sorgente/mezzo sessione,Sessioni
(direct) / (none),60
tagassistant.google.com / referral,4
m.facebook.com / referral,2

#  
# Data di inizio: 20260410
# Data di fine: 20260507
N° giorno,returning,new
0000,0,0
0001,3,6
0002,2,1
0003,3,3
0004,3,0
0005,2,0
0006,2,0
0007,2,0
0008,1,0
0009,1,0
0010,2,0
0011,1,0
0012,1,0
0013,0,0
0014,0,0
0015,0,0
0016,1,1
0017,0,0
0018,0,0
0019,0,0
0020,0,0
0021,0,1
0022,0,0
0023,0,0
0024,0,4
0025,0,0
0026,0,2
0027,0,1

# Quali sono i dati delle attività per le diverse piattaforme?
# Data di inizio: 20260410
# Data di fine: 20260507
Piattaforma,Eventi chiave


#  
# Data di inizio: 20260410
# Data di fine: 20260507
Città,Utenti attivi
Antwerp,6
Auderghem,2
Braine-le-Chateau,2
Brussels,2
Council Bluffs,2
Aspen,1
Etterbeek,1
Flint Hill,1
Gallatin,1
Grunheide (Mark),1
Mechelen,1
Prineville,1
Rome,1
Schaerbeek,1
Sint-Pieters-Leeuw,1
Westerheim,1

#  
# Data di inizio: 20260410
# Data di fine: 20260507
Nome segmento di pubblico,Utenti attivi
All Users,19
